info alamat             ,alamat_pengiriman
tolong proses           ,tolong_proses
kemarin order           ,pesanan_kemarin
kemarin pesan           ,pesanan_kemarin
order kemarin           ,pesanan_kemarin
pesan kemarin           ,pesanan_kemarin
kemarin bayar           ,pesanan_kemarin
bayar kemarin           ,pesanan_kemarin
beli kemarin            ,pesanan_kemarin
kemarin kirim           ,kemarin_kirim
kemarin verifikasi      ,kemarin_verifikasi
batal pesan             ,pesanan_batal
batal order             ,pesanan_batal
order batal             ,pesanan_batal
batal kode              ,pesanan_batal
pesan batal             ,pesanan_batal
tukar barang            ,tukar_barang
tukar hitam             ,tukar_barang
tukar ukur              ,tukar_barang
tukar warna             ,tukar_barang
barang tukar            ,tukar_barang
tukar voucher           ,tukar_voucher
live                    ,live_chat
proses pesan            ,proses_pesanan
pesan proses            ,proses_pesanan
proses order            ,proses_pesanan
proses refund           ,proses_refund
proses kirim            ,proses_kirim
proses bayar            ,proses_bayar
bayar proses            ,proses_bayar
tunggu proses           ,proses_tunggu
proses tunggu           ,proses_tunggu
proses retur            ,proses_retur
proses return           ,proses_retur
proses approval         ,proses_approval
resi kirim              ,informasi_resi
kirim resi              ,informasi_resi
foto resi               ,informasi_resi
nomer resi              ,informasi_resi
resi kode               ,informasi_resi
masuk ongkos            ,termasuk_ongkos_kirim
tidak_masuk sabtu       ,tidak_masuk_libur
sabtu minggu libur      ,tidak_masuk_libur
tidak_masuk libur       ,tidak_masuk_libur
masuk keranjang         ,masuk_keranjang
masuk diskon            ,masuk_diskon
masuk sistem            ,masuk_sistem
bayar tunggu            ,tunggu_bayar
tunggu order            ,tunggu_order
tunggu proses           ,tunggu_proses
tunggu kirim            ,tunggu_kirim
tunggu estimasi         ,tunggu_estimasi
tunggu barang           ,tunggu_barang
ongkos kirim            ,ongkos_kirim
total beli              ,total_harga
order total             ,total_harga
total order             ,total_harga
total bayar             ,total_harga
total biaya             ,total_harga
grand total             ,total_harga
total rupiah            ,total_harga
total diskon            ,total_harga
total transfer          ,total_harga
bayar tanggal           ,tanggal_bayar
tanggal order           ,tanggal_order
tanggal merah           ,tanggal_merah
kirim tanggal           ,tanggal_kirim
promo tanggal           ,tanggal_promo
ekspedisi tanggal       ,tanggal_ekspedisi
barang emas             ,barang_kemas
emas info               ,info_kemas
pesan kemas             ,pesan_kemas
proses emas             ,proses_kemas
barang kemas            ,barang_kemas
kemas utuh              ,kemas_utuh
sedia tunggu            ,sedia_tunggu
kirim sedia             ,kirim_sedia
sedia ukur              ,sedia_ukuran
produk sedia            ,produk_sedia
sedia diskon            ,sedia_diskon
diskon sedia            ,sedia_diskon
estimasi kirim          ,estimasi_pengiriman
estimasi bayar          ,estimasi_bayar
estimasi kerja          ,estimasi_kerja
estimasi refund         ,estimasi_refund
minimal laku            ,minimal_berlaku
minimal ribu            ,minimal_ribu
minimal order           ,minimal_order
minimal beli            ,minimal_pembelian
minimal pmbelian        ,minimal_pembelian
minimum order           ,minimum_order
minimum beli            ,minumum_pembelian
minimum ribu            ,minimum_ribu
tunggu sebentar         ,tunggu_sebentar
ubah pesan              ,ubah_pesan
alamat ubah             ,ubah_alamat
ubah password           ,ubah_password
ubah metode bayar       ,ubah_metode_bayar
ubah alamat             ,ubah_alamat
alamat ubah             ,ubah_alamat
ubah pembayaran         ,ubah_metode_bayar
order ubah              ,ubah_order
ubah data               ,ubah_data
